model,task,language,cycle,survival_rate
falcon3-3b,fizzbuzz,en,1,100.0
falcon3-3b,fizzbuzz,en,2,100.0
falcon3-3b,fizzbuzz,en,3,100.0
falcon3-3b,fizzbuzz,en,4,100.0
falcon3-3b,fizzbuzz,en,5,100.0
falcon3-3b,fizzbuzz,en,6,100.0
falcon3-3b,fizzbuzz,en,7,100.0
falcon3-3b,fizzbuzz,en,8,100.0
falcon3-3b,fizzbuzz,en,9,100.0
falcon3-3b,fizzbuzz,en,10,100.0
falcon3-3b,fizzbuzz,ja,1,60.0
falcon3-3b,fizzbuzz,ja,2,46.666666666666664
falcon3-3b,fizzbuzz,ja,3,30.0
falcon3-3b,fizzbuzz,ja,4,20.0
falcon3-3b,fizzbuzz,ja,5,20.0
falcon3-3b,fizzbuzz,ja,6,16.666666666666664
falcon3-3b,fizzbuzz,ja,7,6.666666666666667
falcon3-3b,fizzbuzz,ja,8,3.3333333333333335
falcon3-3b,fizzbuzz,ja,9,3.3333333333333335
falcon3-3b,fizzbuzz,ja,10,3.3333333333333335
falcon3-3b,separate_vowels_and_consonants,en,1,20.0
falcon3-3b,separate_vowels_and_consonants,en,2,0.0
falcon3-3b,separate_vowels_and_consonants,en,3,0.0
falcon3-3b,separate_vowels_and_consonants,en,4,0.0
falcon3-3b,separate_vowels_and_consonants,en,5,0.0
falcon3-3b,separate_vowels_and_consonants,en,6,0.0
falcon3-3b,separate_vowels_and_consonants,en,7,0.0
falcon3-3b,separate_vowels_and_consonants,en,8,0.0
falcon3-3b,separate_vowels_and_consonants,en,9,0.0
falcon3-3b,separate_vowels_and_consonants,en,10,0.0
gemma3-4b,fizzbuzz,en,1,100.0
gemma3-4b,fizzbuzz,en,2,100.0
gemma3-4b,fizzbuzz,en,3,100.0
gemma3-4b,fizzbuzz,en,4,100.0
gemma3-4b,fizzbuzz,en,5,100.0
gemma3-4b,fizzbuzz,en,6,100.0
gemma3-4b,fizzbuzz,en,7,100.0
gemma3-4b,fizzbuzz,en,8,100.0
gemma3-4b,fizzbuzz,en,9,100.0
gemma3-4b,fizzbuzz,en,10,100.0
gemma3-4b,fizzbuzz,ja,1,100.0
gemma3-4b,fizzbuzz,ja,2,100.0
gemma3-4b,fizzbuzz,ja,3,100.0
gemma3-4b,fizzbuzz,ja,4,100.0
gemma3-4b,fizzbuzz,ja,5,100.0
gemma3-4b,fizzbuzz,ja,6,100.0
gemma3-4b,fizzbuzz,ja,7,100.0
gemma3-4b,fizzbuzz,ja,8,100.0
gemma3-4b,fizzbuzz,ja,9,100.0
gemma3-4b,fizzbuzz,ja,10,100.0
gemma3-4b,separate_vowels_and_consonants,ja,1,100.0
gemma3-4b,separate_vowels_and_consonants,ja,2,96.66666666666667
gemma3-4b,separate_vowels_and_consonants,ja,3,86.66666666666667
gemma3-4b,separate_vowels_and_consonants,ja,4,76.66666666666667
gemma3-4b,separate_vowels_and_consonants,ja,5,66.66666666666666
gemma3-4b,separate_vowels_and_consonants,ja,6,56.666666666666664
gemma3-4b,separate_vowels_and_consonants,ja,7,53.333333333333336
gemma3-4b,separate_vowels_and_consonants,ja,8,50.0
gemma3-4b,separate_vowels_and_consonants,ja,9,50.0
gemma3-4b,separate_vowels_and_consonants,ja,10,50.0
llama3-8b,fizzbuzz,en,1,36.666666666666664
llama3-8b,fizzbuzz,en,2,10.0
llama3-8b,fizzbuzz,en,3,3.3333333333333335
llama3-8b,fizzbuzz,en,4,0.0
llama3-8b,fizzbuzz,en,5,0.0
llama3-8b,fizzbuzz,en,6,0.0
llama3-8b,fizzbuzz,en,7,0.0
llama3-8b,fizzbuzz,en,8,0.0
llama3-8b,fizzbuzz,en,9,0.0
llama3-8b,fizzbuzz,en,10,0.0
llama3-8b,fizzbuzz,ja,1,90.0
llama3-8b,fizzbuzz,ja,2,86.66666666666667
llama3-8b,fizzbuzz,ja,3,83.33333333333334
llama3-8b,fizzbuzz,ja,4,70.0
llama3-8b,fizzbuzz,ja,5,66.66666666666666
llama3-8b,fizzbuzz,ja,6,60.0
llama3-8b,fizzbuzz,ja,7,53.333333333333336
llama3-8b,fizzbuzz,ja,8,53.333333333333336
llama3-8b,fizzbuzz,ja,9,53.333333333333336
llama3-8b,fizzbuzz,ja,10,46.666666666666664
llama3-8b,separate_vowels_and_consonants,en,1,26.666666666666668
llama3-8b,separate_vowels_and_consonants,en,2,6.666666666666667
llama3-8b,separate_vowels_and_consonants,en,3,0.0
llama3-8b,separate_vowels_and_consonants,en,4,0.0
llama3-8b,separate_vowels_and_consonants,en,5,0.0
llama3-8b,separate_vowels_and_consonants,en,6,0.0
llama3-8b,separate_vowels_and_consonants,en,7,0.0
llama3-8b,separate_vowels_and_consonants,en,8,0.0
llama3-8b,separate_vowels_and_consonants,en,9,0.0
llama3-8b,separate_vowels_and_consonants,en,10,0.0
llama3-8b,separate_vowels_and_consonants,ja,1,53.333333333333336
llama3-8b,separate_vowels_and_consonants,ja,2,20.0
llama3-8b,separate_vowels_and_consonants,ja,3,6.666666666666667
llama3-8b,separate_vowels_and_consonants,ja,4,0.0
llama3-8b,separate_vowels_and_consonants,ja,5,0.0
llama3-8b,separate_vowels_and_consonants,ja,6,0.0
llama3-8b,separate_vowels_and_consonants,ja,7,0.0
llama3-8b,separate_vowels_and_consonants,ja,8,0.0
llama3-8b,separate_vowels_and_consonants,ja,9,0.0
llama3-8b,separate_vowels_and_consonants,ja,10,0.0
llama3.2-3b,fizzbuzz,en,1,100.0
llama3.2-3b,fizzbuzz,en,2,100.0
llama3.2-3b,fizzbuzz,en,3,100.0
llama3.2-3b,fizzbuzz,en,4,100.0
llama3.2-3b,fizzbuzz,en,5,100.0
llama3.2-3b,fizzbuzz,en,6,100.0
llama3.2-3b,fizzbuzz,en,7,100.0
llama3.2-3b,fizzbuzz,en,8,100.0
llama3.2-3b,fizzbuzz,en,9,100.0
llama3.2-3b,fizzbuzz,en,10,100.0
llama3.2-3b,fizzbuzz,ja,1,66.66666666666666
llama3.2-3b,fizzbuzz,ja,2,36.666666666666664
llama3.2-3b,fizzbuzz,ja,3,33.33333333333333
llama3.2-3b,fizzbuzz,ja,4,26.666666666666668
llama3.2-3b,fizzbuzz,ja,5,20.0
llama3.2-3b,fizzbuzz,ja,6,6.666666666666667
llama3.2-3b,fizzbuzz,ja,7,0.0
llama3.2-3b,fizzbuzz,ja,8,0.0
llama3.2-3b,fizzbuzz,ja,9,0.0
llama3.2-3b,fizzbuzz,ja,10,0.0
llama3.2-3b,separate_vowels_and_consonants,en,1,26.666666666666668
llama3.2-3b,separate_vowels_and_consonants,en,2,13.333333333333334
llama3.2-3b,separate_vowels_and_consonants,en,3,6.666666666666667
llama3.2-3b,separate_vowels_and_consonants,en,4,0.0
llama3.2-3b,separate_vowels_and_consonants,en,5,0.0
llama3.2-3b,separate_vowels_and_consonants,en,6,0.0
llama3.2-3b,separate_vowels_and_consonants,en,7,0.0
llama3.2-3b,separate_vowels_and_consonants,en,8,0.0
llama3.2-3b,separate_vowels_and_consonants,en,9,0.0
llama3.2-3b,separate_vowels_and_consonants,en,10,0.0
